Direction,Month,Hour,Total_Carriageway_Flow,Total_Flow_vehicles_less_than_5pt2m,Total_Flow_vehicles_5pt21m_6pt6m,Total_Flow_vehicles_6pt61m_11pt6m,Total_Flow_vehicles_above_11pt6m,Speed_Value,WeekDay
M621_J1_EB,1,20,391,124,4,3,3,84,1
M621_J3toJ2A_EB,3,14,167,99,19,5,1,100,2
A38_M_NB,2,2,3,378,17,28,6,83,4
M606_J1toJ2,6,7,280,54,3,2,3,82,4
M621_J7_EB,3,11,126,23,16,33,1,81,1
M621_J6toJ5_WB,10,19,213,38,308,3,4,110,4
M621_J7_EB,2,10,106,122,18,13,8,89,5
M621_J27_WB,1,7,37,411,30,0,11,85,3
M621_J4_EB,9,8,223,172,7,0,3,83,4
M621_J1toM62_WB,8,9,6,97,15,5,3,58,4
M606_J1toJ2,9,16,332,135,77,0,3,65,0
A38_M_NB,9,9,308,184,0,2,6,86,6
M621_J7toM1_EB,8,6,156,33,23,5,2,72,2
M621_J4_WB,8,16,189,54,9,16,7,47,5
M621_J6_WB,8,8,513,113,27,14,1,92,0
A38_M_NB,1,5,48,8,9,4,2,104,0
M621_J7_EB,1,11,670,17,15,32,5,95,1
A38_M_NB,4,11,82,65,23,23,2,80,2
M621_J7_EB,5,4,319,55,19,8,87,82,0
M621_J6_EB,9,21,208,224,2,55,6,104,1
M621_J5toJ6_EB,11,1,132,139,18,5,1,69,4
M621_J4_WB,1,6,46,56,7,2,1,89,1
A38_M_NB,9,1,113,171,48,6,5,81,0
M621_J4_EB,9,19,171,81,8,4,3,94,0
A38_M_NB,4,15,90,304,18,7,2,90,1
M621_J7_EB,12,18,149,13,15,3,13,87,4
A38_M_NB,3,8,64,611,138,6,4,72,6
M621_J1toM62_WB,10,17,60,35,10,4,2,101,3
M621_J7toJ6_WB,4,20,200,319,5,37,6,89,0
M621_J6toJ5_WB,8,23,168,184,56,1,1,89,3
A38_M_NB,6,17,108,62,52,5,1,87,6
M621_J27_WB,8,10,202,151,7,19,2,73,2
M621_J3toJ2A_EB,12,4,137,156,36,0,13,90,4
M621_J7_EB,7,5,70,81,14,15,33,60,5
M621_J4_EB,8,15,611,68,18,2,2,73,3
A38_M_NB,8,8,541,30,65,4,20,109,0
M621_J1toM62_WB,9,14,202,10,2,14,4,65,1
M621_J4_EB,11,0,597,355,5,0,6,77,0
M621_M1toJ7_WB,9,5,234,51,31,0,3,84,1
M621_J1_WB,11,5,527,441,10,4,1,81,6
M621_M1toJ7_WB,5,1,213,205,220,39,3,70,4
M621_J3toJ2A_EB,4,20,354,22,4,3,1,87,1
M621_J1toM62_WB,10,21,206,91,52,22,14,72,3
M621_J1toM62_WB,9,4,592,8,1,1,2,88,3
M621_J3toJ2A_WB,9,18,65,58,27,5,3,70,4
M621_J1toM62_WB,9,14,70,337,11,22,3,105,3
M621_J1_WB,7,4,148,137,12,11,25,89,0
M621_M1toJ7_WB,3,9,584,3,0,5,3,99,6
M621_J27_WB,10,22,15,131,8,8,2,89,1
M621_J6_WB,10,0,165,24,17,7,1,88,1
M621_J2_WB,6,11,169,339,18,11,5,81,2
M606_J1toJ2,10,18,619,203,17,40,0,82,1
M621_J7toM1_EB,11,15,346,274,9,11,7,88,0
M621_J7_EB,3,8,21,472,8,2,2,88,1
A38_M_NB,9,0,644,204,12,53,13,68,6
M621_J7_EB,10,21,102,184,7,6,3,61,4
A38_M_NB,10,12,1,73,1,15,2,72,1
M621_J3toJ2A_WB,9,7,348,27,1,9,4,86,3
M621_J7toM1_EB,1,1,474,189,2,5,23,55,3
M621_J3toJ2A_EB,6,23,275,154,3,4,4,82,1
M606_J1toJ2,1,19,149,149,11,57,10,87,1
M606_J2toJ1,8,4,102,79,3,11,4,80,5
M621_J4_WB,1,21,42,19,5,16,6,76,1
M621_J5toJ6_EB,8,1,140,197,7,11,4,87,4
M621_J3toJ2A_WB,1,19,183,244,7,3,13,82,0
M606_J3toJ2,3,6,141,459,17,4,6,73,3
A38_M_NB,1,23,115,247,13,7,10,95,4
M621_J4_EB,8,1,180,587,9,1,7,88,4
M606_J1toJ2,1,3,96,205,25,8,29,88,5
A38_M_NB,9,18,201,119,36,0,5,83,2
A38_M_NB,3,0,56,552,13,7,4,104,2
M621_J5toJ6_EB,9,3,75,501,38,2,5,135,0
M621_J4_WB,7,5,97,86,19,28,14,76,5
M621_J7toM1_EB,9,5,96,342,17,10,4,88,0
M606_J2toJ1,8,9,163,101,11,3,1,65,3
M621_J3toJ2A_WB,9,18,40,211,9,0,4,110,3
M621_J7toM1_EB,1,4,98,138,33,5,0,105,6
M606_J1toJ2,5,7,158,257,9,3,14,66,0
M621_J1toM62_WB,9,10,128,226,10,20,10,76,3
M621_J7toM1_EB,11,8,11,33,56,3,4,110,1
M621_J7toM1_EB,4,15,390,139,7,81,9,104,3
M621_J2_WB,9,23,504,22,3,43,19,78,4
M621_J1toM62_WB,5,0,57,172,33,7,13,87,5
M621_J7toM1_EB,1,21,610,799,11,17,24,102,0
M621_J4_EB,8,16,250,31,8,12,0,87,1
M606_J1toJ2,10,1,246,430,36,14,3,99,1
M621_J2_WB,8,9,270,139,23,6,5,69,5
M621_J3toJ2A_WB,8,22,145,270,18,13,14,91,0
M621_J3toJ2A_EB,6,21,276,178,17,11,1,86,6
M621_J1toM62_WB,7,2,219,312,63,4,5,82,2
A38_M_NB,1,12,441,13,9,10,2,79,1
M621_J7_EB,4,10,174,6,5,17,3,82,3
A38_M_NB,9,22,69,234,14,2,10,50,5
A38_M_NB,10,9,189,26,24,2,3,69,3
A38_M_NB,9,19,247,385,15,5,4,47,6
A38_M_NB,6,8,280,261,16,16,13,84,5
M621_J7_EB,8,15,184,338,112,15,3,98,5
M621_J7toJ6_WB,4,21,55,231,6,46,2,98,6
A38_M_NB,9,10,259,19,12,47,1,88,0
M621_J1toM62_WB,4,13,18,277,1,5,2,81,6
M621_J1toM62_WB,9,1,50,24,11,3,11,73,4
A38_M_NB,6,18,15,1,2,5,9,98,2
M621_J7_EB,4,23,447,156,12,5,22,86,0
M621_J7_EB,4,23,337,512,210,3,14,91,1
M621_J5toJ6_EB,8,15,1,45,15,16,2,83,6
A38_M_NB,4,10,34,57,18,15,10,71,2
M606_J2toJ1,4,1,238,68,15,2,2,58,3
A38_M_NB,9,15,29,14,0,2,1,96,6
M621_J7_EB,9,21,249,157,6,4,0,63,2
M621_J1toM62_WB,10,9,543,54,47,2,2,80,3
A38_M_NB,10,10,7,93,12,0,4,74,0
A38_M_NB,9,20,185,191,8,22,8,90,1
M606_J3toJ2,1,14,92,282,86,1,2,80,4
M621_J7toM1_EB,6,8,286,93,8,13,2,81,2
A38_M_NB,11,12,7,597,34,6,9,83,6
M621_J7toM1_EB,9,9,62,19,4,1,1,80,0
A38_M_NB,1,19,337,141,1,15,9,72,6
M621_J4_WB,1,11,245,4,11,13,24,74,6
M621_J1_EB,10,22,39,277,28,9,3,78,5
M621_J1toM62_WB,9,12,186,254,9,3,0,83,2
M606_J1toJ2,10,6,187,25,23,4,8,60,5
M621_J1_EB,3,16,65,620,4,2,11,90,1
M606_J3toJ2,1,18,626,6,10,9,3,9,1
M621_J4_WB,3,12,516,90,98,6,2,90,6
M621_J7_EB,9,6,127,88,127,3,6,68,0
M621_J1toM62_WB,1,3,79,92,6,6,4,66,4
M621_J7_EB,6,8,130,340,3,18,4,85,6
A38_M_NB,1,20,36,36,8,6,0,87,6
M621_J6_WB,4,9,304,164,1,47,11,69,0
M621_J3toJ2A_EB,4,1,169,72,7,25,13,108,4
M621_J7_EB,2,18,561,60,3,67,0,64,2
M606_J1toJ2,9,22,426,143,11,10,1,84,0
M621_J1_WB,9,7,46,39,2,3,4,110,5
M621_J4_WB,9,7,129,114,13,12,5,106,4
M621_J7_EB,10,21,160,18,47,4,1,59,6
M621_J27_WB,6,1,482,168,20,34,4,86,0
M621_J7_EB,9,9,84,42,2,37,7,86,1
M621_J3toJ2A_EB,8,12,286,516,16,5,10,78,4
M621_M1toJ7_WB,9,16,218,61,13,21,3,82,4
M621_J7toJ6_WB,9,15,0,206,19,1,1,103,6
M621_J1toM62_WB,10,17,50,98,13,17,0,97,0
M621_J7toM1_EB,4,14,6,66,9,1,3,84,0
M621_J6_EB,7,8,451,245,13,7,9,86,0
M621_J3toJ2A_EB,1,17,124,2,17,4,6,85,1
M621_M1toJ7_WB,4,4,92,66,0,1,2,99,4
M621_J4_WB,7,17,369,3,17,28,6,70,6
A38_M_NB,4,23,280,42,35,0,2,38,6
A38_M_NB,1,14,9,59,7,47,26,77,3
M606_J2toJ1,11,1,9,148,3,8,1,88,3
M621_J5toJ6_EB,10,4,284,649,1,5,8,98,6
M621_J3toJ2A_EB,5,5,71,295,50,3,4,79,1
M621_J1toM62_WB,1,17,53,33,1,5,1,110,2
M621_J6_EB,6,23,607,48,6,8,4,82,5
A38_M_NB,1,9,45,33,6,52,6,89,5
M621_J6toJ5_WB,4,1,116,173,10,2,9,48,0
M621_J5toJ6_EB,9,23,59,7,15,3,9,77,4
A38_M_NB,4,9,46,366,19,7,3,84,1
M621_J1toM62_WB,9,17,120,465,24,7,5,101,5
A38_M_NB,9,16,6,142,3,7,16,95,5
A38_M_NB,3,17,260,49,306,44,2,84,4
M621_M1toJ7_WB,4,6,53,540,1,4,1,61,0
M621_J27_WB,4,6,7,221,15,23,5,82,0
M621_J1_WB,4,2,157,221,15,7,13,67,4
A38_M_NB,2,21,453,38,4,56,5,85,2
M621_J6toJ5_WB,6,9,18,196,34,3,20,81,1
M621_J4_WB,10,9,56,132,9,2,3,90,3
A38_M_NB,9,22,227,1140,16,17,1,97,5
M621_J6_EB,7,16,326,56,11,10,1,86,5
A38_M_NB,9,4,307,37,1,0,20,109,0
M621_J7toM1_EB,9,8,45,124,45,24,3,62,4
M621_J1_EB,8,13,333,46,5,3,14,70,4
M621_J1toM62_WB,4,21,193,16,18,49,4,87,0
A38_M_NB,4,1,292,103,18,5,4,106,1
M621_J7_EB,1,3,175,4,112,0,7,76,5
M606_J3toJ2,9,17,250,89,15,7,9,82,6
M621_J3toJ2A_EB,11,18,7,9,37,4,0,97,4
M621_J7toM1_EB,4,17,39,18,49,16,4,97,3
A38_M_NB,3,21,78,38,4,7,5,90,6
M621_J7_EB,4,7,248,33,10,5,79,91,6
M621_J2_WB,3,1,137,230,12,73,3,85,5
M621_J7toM1_EB,10,15,289,44,10,7,2,57,3
M621_J7_EB,4,5,192,34,18,0,4,83,2
M621_J1toM62_WB,4,13,707,603,1,1,11,78,5
A38_M_NB,6,13,201,460,16,6,2,84,6
A38_M_NB,10,0,440,300,21,8,15,105,0
M621_J7_EB,12,2,65,162,2,7,20,78,4
M621_J27_WB,8,4,199,150,17,24,4,81,6
M621_J4_WB,9,8,211,329,33,5,1,92,6
M621_J7_EB,1,17,187,211,85,7,1,88,6
M606_J3toJ2,9,19,43,68,14,12,3,79,6
M621_J7toJ6_WB,4,8,568,412,13,34,5,84,2
A38_M_NB,4,14,226,349,10,6,11,81,4
M606_J3toJ2,9,0,415,340,33,7,10,81,0
M621_J6toJ5_WB,1,0,187,153,11,14,11,72,1
M621_J7_EB,8,3,335,101,7,19,5,75,4
M621_J7toM1_EB,4,19,97,53,9,5,3,80,1
M606_J3toJ2,10,1,27,161,5,1,2,94,4
M621_J6_WB,4,8,286,155,10,6,23,86,1
M621_M1toJ7_WB,4,11,41,51,16,7,4,71,0
M621_J3toJ2A_EB,5,5,95,31,2,9,5,74,0
M606_J2toJ1,8,13,1,27,4,4,4,73,1
A38_M_NB,9,18,9,135,5,7,4,58,1
M621_J6_EB,2,6,1,203,9,1,6,64,6
A38_M_NB,9,21,531,132,1,4,2,87,4
M621_J1toM62_WB,6,13,186,200,17,1,0,106,2
M606_J3toJ2,3,20,23,103,2,14,11,90,4
M621_J1toM62_WB,7,5,187,135,184,5,27,111,6
M621_J7toJ6_WB,8,19,112,619,13,11,2,93,2
M621_J1toM62_WB,9,9,164,141,1,6,15,75,6
M621_J7toM1_EB,8,10,198,233,19,3,6,81,0
M621_J6toJ5_WB,6,14,34,407,19,13,4,75,6
M606_J3toJ2,4,5,107,341,2,45,5,84,5
M606_J3toJ2,4,16,109,95,104,0,14,61,6
M621_J1_WB,3,7,218,30,0,5,1,81,1
M621_J4_EB,10,0,60,1,36,8,84,85,1
M621_J4_WB,10,0,91,19,16,1,6,49,2
M621_J7toM1_EB,7,3,171,71,0,3,0,109,4
M621_J7toM1_EB,3,23,163,241,8,10,8,112,5
M621_J4_EB,9,10,97,250,9,32,32,81,0
A38_M_NB,1,9,321,467,49,5,8,85,6
M621_J3toJ2A_EB,11,3,526,75,1,17,5,113,3
M621_J1toM62_WB,1,0,38,301,6,27,4,99,0
M621_J3toJ2A_EB,10,12,1011,15,8,5,5,90,3
A38_M_NB,6,8,264,5,0,7,0,93,4
M621_M1toJ7_WB,9,20,43,48,36,38,29,85,3
A38_M_NB,9,7,30,151,9,10,5,81,1
M606_J2toJ1,12,22,659,117,17,12,12,80,3
A38_M_NB,3,3,0,1,28,11,10,89,4
M621_J3toJ2A_EB,6,15,39,253,9,1,5,27,3
M621_J1_EB,9,7,49,176,7,0,2,94,4
M621_J1_WB,3,21,194,60,17,3,11,87,2
M621_J6_WB,11,16,261,121,9,5,19,83,0
M621_J7toJ6_WB,3,4,32,37,31,23,9,82,1
A38_M_NB,10,8,60,283,7,13,5,84,4
M606_J3toJ2,7,0,647,288,39,1,8,98,0
M621_J27_WB,7,22,57,49,8,1,3,100,5
A38_M_NB,10,19,75,52,16,12,7,82,4
M621_J1toM62_WB,1,2,188,247,24,6,0,90,2
M606_J3toJ2,6,5,1224,202,19,26,14,79,5
M621_J7toM1_EB,3,6,167,67,5,29,4,80,2
A38_M_NB,9,12,457,198,9,22,2,87,2
M621_J4_WB,3,14,187,363,17,5,1,81,0
M606_J1toJ2,6,11,132,121,16,34,0,64,0
M621_J4_EB,1,5,257,94,14,5,1,81,3
M621_J3toJ2A_WB,5,1,543,149,3,23,3,74,5
M621_J1toM62_WB,3,21,211,43,132,55,1,86,2
M621_J7_EB,11,0,61,152,4,23,41,91,5
M606_J1toJ2,5,15,565,21,14,6,4,113,1
M621_J27_WB,1,2,270,17,15,1,11,122,2
M621_M1toJ7_WB,3,8,48,155,17,19,9,69,5
A38_M_NB,1,12,45,15,7,2,8,80,3
M621_J3toJ2A_EB,8,19,233,36,12,4,30,68,5
M606_J3toJ2,6,5,7,145,7,15,9,93,5
A38_M_NB,6,16,17,148,0,5,23,90,2
M621_J7_EB,4,17,216,271,9,1,8,100,0
M621_J3toJ2A_WB,6,16,11,1089,23,6,9,81,4
M621_J3toJ2A_WB,8,23,129,80,7,6,2,89,0
M621_J3toJ2A_EB,3,8,18,13,18,5,16,74,2
A38_M_NB,5,23,177,148,18,7,2,52,3
M621_J3toJ2A_WB,6,19,114,48,1,7,5,113,6
A38_M_NB,8,9,30,17,16,8,13,86,5
M621_J4_WB,6,8,66,52,33,19,0,73,4
A38_M_NB,8,14,143,397,18,16,0,97,2
A38_M_NB,10,10,176,238,68,9,17,88,1
M606_J3toJ2,9,5,35,120,10,2,1,108,2
M606_J3toJ2,8,12,43,241,2,6,14,89,3
M621_J6toJ5_WB,10,19,324,101,8,3,16,113,0
M606_J3toJ2,4,7,217,533,43,6,4,57,5
A38_M_NB,12,6,46,45,2,2,1,81,6
A38_M_NB,8,12,45,5,2,2,20,102,2
A38_M_NB,3,23,159,326,3,7,5,109,5
M621_J1toM62_WB,8,11,79,16,8,7,6,101,1
A38_M_NB,11,17,223,188,40,34,3,81,1
M606_J1toJ2,9,9,385,544,29,6,3,85,5
A38_M_NB,8,0,379,64,34,17,12,89,1
M606_J3toJ2,1,4,167,129,100,8,1,107,0
M621_J2_WB,6,0,189,120,14,12,5,82,4
M621_J7toM1_EB,7,20,197,281,40,6,4,63,3
M621_J6_WB,2,17,506,165,32,1,1,77,0
A38_M_NB,2,17,271,480,18,31,35,86,4
M621_J6toJ5_WB,1,17,484,223,23,45,4,70,1
M621_J4_WB,9,21,21,18,16,2,7,94,0
M621_J7toJ6_WB,9,9,574,495,14,5,2,59,1
M621_J1toM62_WB,6,3,352,90,30,6,8,95,4
M621_J7_EB,7,17,129,376,4,6,10,70,3
M621_J4_WB,7,10,127,386,2,43,9,89,0
M606_J2toJ1,10,9,273,521,56,3,8,99,4
M621_J1toM62_WB,3,4,204,87,24,2,8,65,0
M621_J7_EB,4,16,114,57,86,4,18,89,1
M621_J6toJ5_WB,10,0,92,249,12,5,7,113,2
M606_J1toJ2,7,17,532,66,121,10,1,97,2
M621_J7_EB,9,13,69,40,14,35,9,87,1
M621_J7toM1_EB,9,3,12,802,12,148,5,85,4
M621_J7_EB,1,8,107,113,15,8,10,61,0
M621_J1_WB,10,17,441,33,14,18,26,87,1
M621_J3toJ2A_EB,9,22,113,176,15,4,2,87,0
M621_J7_EB,1,15,474,149,67,16,2,82,6
M621_J4_WB,3,22,20,85,22,7,12,87,0
M621_J4_WB,9,11,295,63,1,20,3,96,4
M606_J3toJ2,7,20,95,159,16,24,3,85,5
M621_J4_EB,4,14,41,10,224,6,4,90,2
A38_M_NB,9,5,202,152,17,7,14,61,0
M606_J3toJ2,9,10,2,87,12,2,8,77,1
A38_M_NB,6,14,8,12,14,8,2,102,5
M621_J1toM62_WB,9,23,107,489,7,20,4,59,2
M621_J5toJ6_EB,1,2,205,79,17,1,9,98,2
M606_J2toJ1,10,10,204,46,11,12,0,106,0
A38_M_NB,6,8,271,66,15,3,2,81,1
M621_J7_EB,1,14,23,98,13,4,5,109,2
M621_J7toM1_EB,4,12,215,58,6,3,14,88,5
M621_J1toM62_WB,9,21,410,8,13,18,1,88,6
M606_J1toJ2,12,23,4,24,31,3,14,85,3
M606_J2toJ1,11,9,20,4,15,29,6,98,5
M621_J1toM62_WB,9,23,36,382,59,23,3,73,1
M621_J6toJ5_WB,3,5,3,474,20,8,2,80,1
M621_J3toJ2A_EB,10,16,577,259,13,8,3,87,5
M621_J3toJ2A_WB,10,10,104,76,10,4,1,88,1
M621_M1toJ7_WB,3,19,39,101,23,2,2,85,0
A38_M_NB,8,14,221,62,3,0,4,83,3
M621_J27_WB,1,8,19,66,141,5,3,62,3
M621_J27_WB,2,15,173,54,3,18,2,97,4
M621_J3toJ2A_EB,6,11,261,94,26,7,3,90,3
A38_M_NB,4,8,110,41,3,7,10,77,0
A38_M_NB,4,14,123,54,16,6,7,87,3
M621_J1toM62_WB,7,5,524,187,11,37,0,94,5
M621_J4_EB,1,17,257,1142,1,2,3,85,4
M606_J3toJ2,9,0,28,3,19,3,1,70,2
M621_J2_WB,8,18,629,257,4,5,2,90,2
M621_M1toJ7_WB,3,20,126,50,15,2,4,89,3
A38_M_NB,9,2,171,176,11,12,4,86,2
M621_J1toM62_WB,9,11,27,229,5,6,11,104,6
M621_J27_WB,6,14,260,205,9,3,4,85,5
M621_J4_WB,3,22,206,37,15,8,14,86,1
M606_J2toJ1,3,19,265,16,1,5,4,91,3
M621_J6toJ5_WB,4,9,54,144,12,0,67,76,2
M621_J1toM62_WB,6,14,53,27,5,13,3,87,4
A38_M_NB,9,14,408,47,64,1,19,70,3
M621_J4_EB,1,11,46,30,2,21,5,80,2
A38_M_NB,12,21,11,22,126,7,5,82,0
M621_J4_WB,4,11,46,191,3,5,1,85,3
A38_M_NB,9,15,53,38,36,1,6,89,6
M621_J4_EB,5,17,151,49,3,1,2,53,2
M621_J7_EB,9,8,73,44,7,7,1,85,0
M621_J4_WB,4,22,52,143,5,146,0,67,0
M621_J4_EB,6,22,135,113,16,8,7,90,2
M621_J1toM62_WB,10,8,2,34,15,0,7,91,1
M621_J1_EB,3,14,187,94,3,9,4,107,5
M621_J1_WB,6,0,344,36,1,33,2,103,5
M621_J1_WB,9,16,138,59,10,2,5,91,3
M621_J3toJ2A_EB,9,10,320,168,5,3,4,78,2
A38_M_NB,12,17,29,636,8,14,1,20,0
M621_J7_EB,6,10,189,14,7,1,2,63,6
M621_J4_EB,9,16,194,76,38,10,9,86,6
M621_J1_WB,8,13,294,226,15,4,3,74,4
M621_M1toJ7_WB,12,15,34,21,1,7,5,90,5
M621_J7_EB,1,21,314,311,14,9,8,110,1
M621_J4_EB,8,2,1,275,16,11,9,76,0
M621_J1_WB,9,1,57,19,19,11,12,57,2
M621_J1_WB,9,5,102,31,18,4,5,83,5
A38_M_NB,1,18,115,168,11,2,11,90,6
M621_J1_EB,8,20,198,47,14,7,7,88,1
M606_J1toJ2,4,7,805,124,23,2,0,80,1
M621_J4_EB,10,15,9,2,10,20,2,107,6
M621_J4_WB,6,11,64,20,9,0,0,77,1
M606_J3toJ2,3,16,686,99,17,1,10,85,5
M621_J3toJ2A_EB,8,13,219,19,3,10,1,77,6
M621_J6_WB,11,18,364,18,77,5,0,86,1
M621_J4_EB,8,23,206,64,18,16,39,91,0
M621_J5toJ6_EB,9,8,97,462,5,3,4,60,1
M606_J1toJ2,3,2,371,177,11,17,3,90,2
M621_J4_EB,6,9,187,134,6,0,39,91,5
M606_J2toJ1,8,21,823,127,37,1,6,96,3
M606_J1toJ2,5,16,225,8,6,2,9,85,2
M606_J2toJ1,4,1,114,232,1,16,1,88,6
M621_J1_WB,7,21,75,178,19,2,5,101,1
M621_J27_WB,6,22,57,44,12,2,4,89,3
M606_J1toJ2,10,18,41,4,15,5,3,82,6
M621_J1_EB,4,5,90,38,88,7,8,107,6
M621_J7toJ6_WB,10,16,251,7,28,0,12,100,6
A38_M_NB,6,19,150,215,11,16,3,87,6
M606_J1toJ2,6,20,77,372,0,4,1,85,5
A38_M_NB,8,9,311,341,15,44,3,81,2
M621_J4_WB,4,1,174,72,15,6,5,81,5
M621_J3toJ2A_EB,1,14,249,198,10,25,24,81,3
M621_J27_WB,4,12,193,51,49,2,4,33,3
A38_M_NB,3,15,277,52,15,6,13,80,2
M621_J7toM1_EB,9,8,22,144,64,48,2,85,0
M621_J7_EB,6,20,16,309,51,3,0,81,3
M621_J7_EB,10,23,253,403,1,2,8,91,5
M621_J7_EB,10,1,108,10,33,0,2,69,0
M621_J6_WB,3,7,49,32,7,6,35,82,0
A38_M_NB,2,4,29,0,3,15,1,82,2
M621_J7toM1_EB,3,17,445,13,13,2,1,93,4
M621_J7toM1_EB,8,21,128,127,18,3,1,83,5
M621_J4_WB,5,2,5,102,38,17,8,72,3
M606_J3toJ2,2,20,126,268,2,1,2,109,5
A38_M_NB,4,11,223,435,12,6,31,80,3
M621_J27_WB,9,5,134,18,47,9,0,110,5
M621_J4_EB,1,8,236,96,13,13,9,90,2
M621_M1toJ7_WB,9,19,227,108,6,3,2,62,0
A38_M_NB,2,3,57,2,27,6,3,83,5
A38_M_NB,4,2,449,8,9,57,3,65,4
M621_J1toM62_WB,4,18,91,268,41,58,5,135,4
M621_J6_EB,10,4,65,11,13,10,43,88,3
M621_J1_EB,6,13,136,306,37,2,2,67,5
M621_J4_EB,5,3,319,66,13,4,7,108,5
M621_J7toJ6_WB,1,2,366,58,27,3,10,97,1
M621_J6_WB,9,4,309,159,9,17,4,107,2
A38_M_NB,4,21,32,126,8,18,4,82,5
M621_J1toM62_WB,9,1,399,1,1,3,0,88,0
A38_M_NB,6,8,49,431,2,5,2,123,1
A38_M_NB,8,13,251,7,1,8,3,90,3
M621_J6_EB,9,2,101,251,12,1,1,107,1
A38_M_NB,9,12,9,160,13,10,8,83,0
M621_J3toJ2A_EB,2,19,190,33,10,15,5,78,0
M621_J4_EB,7,8,58,123,5,6,16,85,4
A38_M_NB,11,20,681,171,27,5,9,87,1
M621_J7toM1_EB,3,13,249,148,9,6,3,88,6
A38_M_NB,1,1,201,16,10,2,4,72,1
M621_J7toM1_EB,5,17,133,100,11,4,4,89,0
A38_M_NB,1,11,202,65,15,10,7,82,4
M621_J7toJ6_WB,4,21,889,83,7,1,4,103,3
M621_J1_WB,9,23,244,169,1,0,3,88,3
M621_J6_WB,3,11,510,56,18,7,7,201,6
M621_J1toM62_WB,9,18,145,218,10,5,4,76,0
M621_J5toJ6_EB,1,0,501,150,30,54,15,81,5
M621_J7_EB,11,5,49,370,18,22,2,87,6
M621_J3toJ2A_EB,3,10,80,68,20,0,8,82,2
M621_J1toM62_WB,9,19,468,150,18,7,69,111,1
M621_J1toM62_WB,11,5,194,48,171,5,13,74,2
A38_M_NB,9,10,59,182,5,144,8,78,5
A38_M_NB,5,8,265,73,12,49,2,91,5
M621_J5toJ6_EB,5,22,349,92,11,11,10,99,0
M621_J1toM62_WB,1,18,148,2,18,4,2,85,6
A38_M_NB,10,19,164,28,9,20,30,96,3
M621_J7_EB,9,6,278,2,16,21,8,93,6
M621_J4_EB,3,21,7,484,3,6,2,99,4
M621_J27_WB,3,22,42,175,16,4,12,74,0
M621_J1_EB,6,10,135,146,38,16,24,96,1
M621_J1_EB,10,12,180,97,33,4,2,71,3
M621_J1_WB,9,15,44,172,104,6,1,94,3
M621_J7_EB,1,1,70,257,6,9,2,107,2
M621_J1_WB,6,3,358,638,3,42,0,102,0
A38_M_NB,7,3,1,1,31,6,9,81,3
A38_M_NB,8,6,521,42,8,2,3,68,5
M621_J1_EB,9,8,121,18,12,7,17,85,6
A38_M_NB,8,4,240,105,6,3,5,58,6
M621_J7_EB,4,14,224,37,11,2,6,90,3
M621_M1toJ7_WB,5,6,459,187,0,2,14,62,2
M621_J1_EB,10,4,509,263,7,4,2,87,4
M621_J27_WB,3,14,60,18,76,2,1,106,4
A38_M_NB,9,13,333,123,5,17,2,87,4
A38_M_NB,6,22,211,35,35,5,5,117,4
M606_J1toJ2,4,22,408,79,7,7,2,88,6
M621_J1toM62_WB,8,21,1029,388,4,31,2,86,1
M621_J7_EB,5,3,30,205,0,13,20,73,5
M621_J1toM62_WB,9,2,183,609,14,41,4,84,3
M621_J5toJ6_EB,1,8,246,26,0,44,1,94,1
M621_J3toJ2A_EB,1,6,272,268,13,2,2,81,4
M621_J4_WB,2,9,239,93,5,7,7,86,3
A38_M_NB,6,11,154,3,0,5,4,91,3
A38_M_NB,4,23,231,270,31,0,6,71,0
M606_J1toJ2,6,7,461,354,4,46,2,67,1
A38_M_NB,3,1,42,467,1,5,4,86,0
M621_J4_WB,10,20,51,375,12,12,9,62,0
M621_J3toJ2A_WB,7,13,658,526,9,55,4,89,6
M621_J6_WB,4,23,40,245,13,5,14,88,0
M621_J1toM62_WB,8,2,351,612,6,10,2,75,2
M606_J2toJ1,9,9,39,56,16,6,2,85,6
M621_J7_EB,1,12,31,272,25,21,4,84,6
M621_J3toJ2A_EB,4,12,216,229,18,17,4,90,6
M621_J27_WB,10,2,141,243,50,2,1,80,3
M621_J7toJ6_WB,9,23,142,45,17,8,27,55,3
M621_J1_EB,6,21,45,141,3,8,10,87,0
M621_J1toM62_WB,9,16,374,328,19,33,10,194,0
M606_J2toJ1,9,14,252,171,13,1,2,111,6
A38_M_NB,3,2,287,45,10,5,2,90,5
M621_J3toJ2A_WB,2,21,54,61,2,3,15,80,5
M621_J7toM1_EB,11,8,186,24,8,7,0,47,0
M621_J4_EB,8,11,209,237,8,21,3,63,3
M621_J4_WB,10,10,168,167,7,3,53,70,6
M621_J7_EB,9,0,120,510,13,45,19,86,3
M621_J4_WB,8,16,563,261,38,63,2,90,3
M621_J1_WB,4,7,53,188,289,7,1,74,1
M621_J6toJ5_WB,5,16,337,82,13,1,3,87,1
A38_M_NB,3,19,29,35,16,2,3,91,4
M621_J7_EB,9,5,176,13,0,3,0,88,1
M621_J2_WB,1,13,24,321,6,1,1,103,5
M621_J3toJ2A_EB,5,21,19,126,54,2,1,113,6
M621_J7toM1_EB,7,6,119,90,6,5,7,87,5
M621_J4_WB,10,23,488,378,22,7,11,53,4
A38_M_NB,11,2,172,33,14,7,9,90,2
